title,description,link,publish_date
"As coronavirus cases surge across the US, the debate over whether to require Americans to wear a mask to slow the spread of the virus has intensified","<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=F7VTjwgCPGc:-fnt2QG5G7s:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=F7VTjwgCPGc:-fnt2QG5G7s:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=F7VTjwgCPGc:-fnt2QG5G7s:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=F7VTjwgCPGc:-fnt2QG5G7s:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=F7VTjwgCPGc:-fnt2QG5G7s:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=F7VTjwgCPGc:-fnt2QG5G7s:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=F7VTjwgCPGc:-fnt2QG5G7s:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/F7VTjwgCPGc"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/F7VTjwgCPGc/index.html,"<pubDate>Sun, 12 Jul 2020 21:12:10 GMT</pubDate>"
"There are at least 3,286,025 US coronavirus cases","<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=22qH2mDH608:b5tdVdiNVhw:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=22qH2mDH608:b5tdVdiNVhw:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=22qH2mDH608:b5tdVdiNVhw:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=22qH2mDH608:b5tdVdiNVhw:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=22qH2mDH608:b5tdVdiNVhw:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=22qH2mDH608:b5tdVdiNVhw:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=22qH2mDH608:b5tdVdiNVhw:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/22qH2mDH608"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/22qH2mDH608/coronavirus-pandemic-07-12-20-intl,
Trump and Fauci not speaking as coronavirus pandemic worsens,"For months, amid the worst pandemic in a century, President Donald Trump insisted all was well between him and the nation's top infectious disease specialist.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=76nhCQ5si90:Gqpd9fLyOwk:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=76nhCQ5si90:Gqpd9fLyOwk:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=76nhCQ5si90:Gqpd9fLyOwk:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=76nhCQ5si90:Gqpd9fLyOwk:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=76nhCQ5si90:Gqpd9fLyOwk:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=76nhCQ5si90:Gqpd9fLyOwk:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=76nhCQ5si90:Gqpd9fLyOwk:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/76nhCQ5si90"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/76nhCQ5si90/index.html,"<pubDate>Sun, 12 Jul 2020 21:17:14 GMT</pubDate>"
Betsy DeVos is asked if she has a plan to reopen schools safely. Watch her response.,"CNN's Dana Bash speaks to Education Secretary Besty DeVos about whether or not she has a plan for schools to safely reopen for students as Covid-19 cases surge in the US.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=8mL3TCXBb-8:AloqDzpqwGE:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=8mL3TCXBb-8:AloqDzpqwGE:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=8mL3TCXBb-8:AloqDzpqwGE:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=8mL3TCXBb-8:AloqDzpqwGE:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=8mL3TCXBb-8:AloqDzpqwGE:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=8mL3TCXBb-8:AloqDzpqwGE:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=8mL3TCXBb-8:AloqDzpqwGE:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/8mL3TCXBb-8"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/8mL3TCXBb-8/betsy-devos-schools-reopening-plan-sot-sotu-vpx.cnn,"<pubDate>Sun, 12 Jul 2020 14:09:11 GMT</pubDate>"
DeVos won't say if schools should follow CDC guidelines to reopen,"Education Secretary Betsy DeVos on Sunday refused to say whether schools should follow guidelines from the US Centers for Disease Control and Prevention on reopening, saying those guidelines are meant to be ""flexible.""<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=Q67TGXu6h44:PymGOH5IvoQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=Q67TGXu6h44:PymGOH5IvoQ:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=Q67TGXu6h44:PymGOH5IvoQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=Q67TGXu6h44:PymGOH5IvoQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=Q67TGXu6h44:PymGOH5IvoQ:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=Q67TGXu6h44:PymGOH5IvoQ:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=Q67TGXu6h44:PymGOH5IvoQ:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/Q67TGXu6h44"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/Q67TGXu6h44/index.html,"<pubDate>Sun, 12 Jul 2020 21:39:12 GMT</pubDate>"
How one of the largest school districts in the US is preparing for the start of the school year and what parents think about it,"The signage reminding students to stay 6 feet apart is already on the floors. The plexiglass is up in the front office. The desks are spaced in a socially-distanced way in the classrooms.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=apiL4XC4tGE:pbgGxlkz7KA:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=apiL4XC4tGE:pbgGxlkz7KA:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=apiL4XC4tGE:pbgGxlkz7KA:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=apiL4XC4tGE:pbgGxlkz7KA:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=apiL4XC4tGE:pbgGxlkz7KA:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=apiL4XC4tGE:pbgGxlkz7KA:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=apiL4XC4tGE:pbgGxlkz7KA:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/apiL4XC4tGE"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/apiL4XC4tGE/index.html,"<pubDate>Sun, 12 Jul 2020 21:06:08 GMT</pubDate>"
ER doctor reacts to Trump's claim: It's a preposterous thought,"An emergency room physician from Arizona, which saw a recent spike in coronavirus cases, discusses a claim made by President Trump that a majority of coronavirus patients ""automatically get better.""<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=-0YNeZLQz7o:9yPnmrDqXjs:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=-0YNeZLQz7o:9yPnmrDqXjs:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=-0YNeZLQz7o:9yPnmrDqXjs:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=-0YNeZLQz7o:9yPnmrDqXjs:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=-0YNeZLQz7o:9yPnmrDqXjs:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=-0YNeZLQz7o:9yPnmrDqXjs:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=-0YNeZLQz7o:9yPnmrDqXjs:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/-0YNeZLQz7o"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/-0YNeZLQz7o/trump-coronavirus-recovery-doctor-newday-wkn-vpx.cnn,"<pubDate>Sun, 12 Jul 2020 13:55:23 GMT</pubDate>"
First cases of coronavirus-related inflammatory syndrome identified in children in South Carolina,"• Why Britons won't wear masks
• Navajo Nation becomes a case study amid Arizona's Covid-19 spike
• Florida smashes record for new virus cases<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=tHBZu5HpaZI:8xg4q18lf70:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=tHBZu5HpaZI:8xg4q18lf70:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=tHBZu5HpaZI:8xg4q18lf70:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=tHBZu5HpaZI:8xg4q18lf70:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=tHBZu5HpaZI:8xg4q18lf70:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=tHBZu5HpaZI:8xg4q18lf70:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=tHBZu5HpaZI:8xg4q18lf70:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/tHBZu5HpaZI"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/tHBZu5HpaZI/index.html,"<pubDate>Sun, 12 Jul 2020 21:39:33 GMT</pubDate>"
Lindsey Graham says he will ask Mueller to testify before Senate panel,"• Mueller breaks his silence on Roger Stone
• Romney calls Trump's act of clemency 'unprecedented, historic corruption'<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=XMdqK8J5vbA:WmDG-WH-eyc:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=XMdqK8J5vbA:WmDG-WH-eyc:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=XMdqK8J5vbA:WmDG-WH-eyc:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=XMdqK8J5vbA:WmDG-WH-eyc:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=XMdqK8J5vbA:WmDG-WH-eyc:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=XMdqK8J5vbA:WmDG-WH-eyc:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=XMdqK8J5vbA:WmDG-WH-eyc:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/XMdqK8J5vbA"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/XMdqK8J5vbA/index.html,"<pubDate>Sun, 12 Jul 2020 17:13:58 GMT</pubDate>"
An explosion on a naval ship in San Diego injures sailors and causes a three-alarm fire,"Several sailors were injured after an explosion on board a ship at the US Naval Base in San Diego, according to the San Diego Fire Department (SDFD).<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=sLLIJTlDIso:gVvQDOa_J44:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=sLLIJTlDIso:gVvQDOa_J44:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=sLLIJTlDIso:gVvQDOa_J44:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=sLLIJTlDIso:gVvQDOa_J44:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=sLLIJTlDIso:gVvQDOa_J44:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_topstories?a=sLLIJTlDIso:gVvQDOa_J44:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_topstories?i=sLLIJTlDIso:gVvQDOa_J44:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_topstories/~4/sLLIJTlDIso"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_topstories/~3/sLLIJTlDIso/index.html,"<pubDate>Sun, 12 Jul 2020 22:15:22 GMT</pubDate>"
