title,description,link,publish_date
,,,
Trump threatens 'automatic 10 years in prison' for anyone harming statues: 'If they even try',"<div><img src=""https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/4e2f5b80-dd1a-4d5e-9eb9-2463fc27fc0d/dc362c6f-118e-4118-83a9-4688bb02a64b/1280x720/match/image.jpg"" style=""width: 100%;""><div>President Trump issued a warning Sunday morning to anyone who even attempts to harm federal monuments, including the Lincoln or Jefferson Memorials, saying that they will automatically face a substantial prison term.</div></div>",https://www.foxnews.com/politics/trump-threatens-automatic-10-years-in-prison-for-anyone-harming-statues-if-they-even-try,"<pubDate>Sun, 12 Jul 2020 13:28:19 GMT</pubDate>"
,,,
DeVos vows to have schools open in fall: 'Kids have got to get back to school',"<div><img src=""https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/afbddc70-f352-4a0e-9d83-df7fe3d4cfef/eb82b357-02a9-4bdc-8c4d-fecacbff83ce/1280x720/match/image.jpg"" style=""width: 100%;""><div>Education Secretary Betsy DeVos said Sunday that she intends to have American schools open for in-person classes this fall, and insisted that this can be done safely despite concerns over the coronavirus pandemic.</div></div>",https://www.foxnews.com/politics/devos-vows-to-have-schools-open-in-fall-kids-have-got-to-get-back-to-school,"<pubDate>Sun, 12 Jul 2020 13:18:52 GMT</pubDate>"
,,,
Val Demings' police background could complicate her Biden VP chances,"<div><img src=""https://static.foxnews.com/foxnews.com/content/uploads/2020/07/demings.png"" style=""width: 100%;""><div>U.S. Rep. Val Demings’ background as Orlando, Fla.'s first female police chief could complicate her chances of becoming Joe Biden’s running mate.</div></div>",https://www.foxnews.com/politics/val-demings-police-background-could-complicate-her-biden-vp-chances,"<pubDate>Sun, 12 Jul 2020 10:40:44 GMT</pubDate>"
,,,
Louisville mayor upstaged by protesters at news conference: video,"<div><img src=""https://static.foxnews.com/foxnews.com/content/uploads/2020/07/image-2.png"" style=""width: 100%;""><div>It appears nobody had Louisville Mayor Greg Fischer’s back during a news conference on Friday.</div></div>",https://www.foxnews.com/politics/louisville-mayor-upstaged-by-protesters-at-news-conference-video,"<pubDate>Sun, 12 Jul 2020 10:17:13 GMT</pubDate>"
,,,
"Trump administration announces 25 percent tariff on $1.3B in French handbags, cosmetics, other goods","<div><img src=""https://static.foxnews.com/foxnews.com/content/uploads/2020/07/trumpxxxxxxxxxx.jpg"" style=""width: 100%;""><div>The White House announced a 25 percent tariff on $1.3 billion worth of French merchandise on Saturday, including cosmetics and handbags, after a digital service tax was levied against U.S. tech giants.</div></div>",https://www.foxnews.com/politics/trump-admin-25-percent-tariff-french-goods,"<pubDate>Sun, 12 Jul 2020 00:53:36 GMT</pubDate>"
,,,
"UN Security Council passes resolution authorizing cross-border aid to Syria, after Russian opposition","<div><img src=""https://static.foxnews.com/foxnews.com/content/uploads/2020/07/AP20191557535625.jpg"" style=""width: 100%;""><div>The U.N. Security Council on Saturday passed a resolution authorizing a Syrian aid program that will deliver aid to the rebel-held northwest via just one border crossing -- after previous efforts to authorize more crossings were torpedoed by Russia and China.</div></div>",https://www.foxnews.com/politics/un-security-council-resolution-syria-crossing,"<pubDate>Sun, 12 Jul 2020 00:40:14 GMT</pubDate>"
,,,
"Robert Mueller defends Stone conviction, Russia investigation after sharp criticism from White House","<div><img src=""https://static.foxnews.com/foxnews.com/content/uploads/2019/07/AP-Mueller-Today.jpg"" style=""width: 100%;""><div>Former Special Counsel Robert Mueller on Saturday vigorously defended his team's decision to prosecute Roger Stone, stopping short of directly attacking President Trump, who commuted Stone's sentence the day prior.</div></div>",https://www.foxnews.com/politics/robert-mueller-stone-felon-russia-investigation,"<pubDate>Sun, 12 Jul 2020 00:35:16 GMT</pubDate>"
,,,
Rep. Jordan hopes Durham investigation can be done before the election,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171055810001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171055810001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
"Mercedes Schlapp on shrinking Democrat voter registration, Trump's immigration executive order, GOP convention","<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171049620001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171049620001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
"Giuliani on Democrats pushing for Trump's tax returns, escalating shootings in NYC, Ghislaine Maxwell charges","<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171057210001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171057210001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
Trump campaign defends Roger Stone commutation as constitutional and justified,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171082393001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171082393001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
Media hail Trump taxes ruling,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171068298001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171068298001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
Vermont city council rejects American flag art after pushing through 'emergency' BLM street mural,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171042386001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171042386001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
Movement urging Democrats to walk away from party sees surges amid defund police movement,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171033774001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171033774001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
Secretary Betsy DeVos on the challenge of reopening America's schools amid the coronavirus pandemic,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171047081001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171047081001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
Sen. Barrasso on what needs to be in next COVID-19 stimulus bill,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171064060001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171064060001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
Trump to sign merit-based immigration executive order for DACA recipients that could include path to citizenship,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 57.7011%;""><iframe src=""https://video.foxnews.com/v/video-embed.html?video_id=6171030999001&ref=twitter.com"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media; autoplay""></iframe></div></div>",http://video.foxnews.com/v/6171030999001/,"<pubDate>Sun, 12 Jul 2020 00:00:00 GMT</pubDate>"
,,,
