title,description,link,publish_date
,,,
Florida shatters U.S. record for largest single-day increase in coronavirus cases,"
        
                        <img src='https://i.cbc.ca/1.5646887.1594575569!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/virus-outbreak-disney.jpg' alt='Virus Outbreak Disney' width='460' title='Guests wear masks as required to attend the official reopening day of the Magic Kingdom at Walt Disney World in Lake Buena Vista, Fla., Saturday, July 11, 2020. Disney reopened two Florida parks, the Magic Kingdom and Animal Kingdom, Saturday with limited capacity and safety protocols in place in response to the coronavirus pandemic.' height='259' />                <p></p>
        
      ",https://www.cbc.ca/news/world/coronavirus-july-12-covid-19-1.5646735?cmp=rss,"<pubDate>Mon, 20 Jan 2020 17:11:33 EST</pubDate>"
,,,
Sunday Scrum: WE Charity controversy widens,"
        
                        <img src='https://i.cbc.ca/1.3312655.1594396443!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_460/trudeau-we-day-20151110.jpg' alt='Trudeau WE Day 20151110' width='460' title='Prime Minister Justin Trudeau and his wife Sophie Gregoire-Trudeau appear at the WE Day celebrations in Ottawa, Tuesday November 10, 2015.' height='259' />                <p>CBC News Network's Sunday Scrum panel is your destination for frank discussion and analysis of the week's big political stories. This week: Our panellists discuss the Conservative Party's continuing efforts to investigate Prime Minister Justin Trudeau and his ties to WE Charity.</p>
        
      ",https://www.cbc.ca/news/politics/sunday-scrum-videos-july-12-1.5647025?cmp=rss,"<pubDate>Sun, 12 Jul 2020 17:32:31 EDT</pubDate>"
,,,
Strapped for cash? How to uncover unclaimed money that may belong to you,"
        
                        <img src='https://i.cbc.ca/1.4894414.1594335031!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/cash-canadian-100-bills-money-stock.jpg' alt='cash canadian 100 bills money stock' width='460' title='Pre-sales and newly built condos aren&#39;t selling very well. in B.C., says personal finance expert Mark Ting.' height='259' />                <p>Cash-strapped during the COVID-19 pandemic due to the economic slowdown? To find out if you have any unclaimed funds from your past, here are some free, simple ways to launch a search.</p>
        
      ",https://www.cbc.ca/news/business/unclaimed-cash-cra-uncashed-cheques-1.5643827?cmp=rss,"<pubDate>Sun, 12 Jul 2020 04:00:00 EDT</pubDate>"
,,,
Why Ghislaine Maxwell's arrest could turn up the heat on Prince Andrew,"
        
                        <img src='https://i.cbc.ca/1.5644963.1594395547!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/prince-andrew.jpg' alt='Prince Andrew' width='460' title='' height='259' />                <p>When British socialite Ghislaine Maxwell was arrested in New Hampshire on charges related to the investigation into convicted sex offender Jeffrey Epstein, it cast renewed attention on a royal friend to them both: Prince Andrew.</p>
        
      ",https://www.cbc.ca/news/world/royal-fascinator-prince-andrew-ghislaine-maxwell-jeffrey-epstein-1.5644861?cmp=rss,"<pubDate>Sun, 12 Jul 2020 04:00:00 EDT</pubDate>"
,,,
Conservatives call on Trudeau to appear before committee studying WE controversy,"
        
                        <img src='https://i.cbc.ca/1.5482104.1583159953!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/pierre-poilievre-carleton-mp.jpg' alt='pierre poilievre carleton mp' width='460' title='Conservative MP Pierre Poilievre rises during Question Period in the House of Commons Wed. Feb. 26, 2020 in Ottawa.' height='259' />                <p>Opposition Conservatives are demanding that Prime Minister Justin Trudeau testify before the House of Commons finance committee as it prepares to study how much the government spent in awarding a now-cancelled contract to WE Charity.</p>
        
      ",https://www.cbc.ca/news/politics/conservatives-investigation-we-charity-controversy-1.5646823?cmp=rss,"<pubDate>Sun, 12 Jul 2020 12:05:54 EDT</pubDate>"
